IMO Number,CO₂ emissions per distance [kg CO₂ / n mile],CO₂eq emissions per distance [kg CO₂eq / n mile]
8918734,141.37,143.59
8918954,469.74,477.06
8918966,423.14,429.79
8918978,458.64,465.84
8918980,429.85,436.59
8919245,709.21,720.07
8919257,731.52,742.87
8919269,830.71,843.73
8919788,151.03,153.37
8919805,Division by zero!,Division by zero!
8919879,158.93,161.39
8920141,235.05,238.72
8921676,251.35,255.25
8922163,497.89,505.72
8927979,69.48,70.54
8972259,111.39,113.1
8972261,105.35,106.97
8976671,262.85,266.95
8986365,108.5,110.16
8986389,102.87,104.44
9000259,868.85,882.32
9000314,135.47,137.59
9000443,181.32,184.14
9000687,473.81,481.07
9000699,491.5,499.03
9000742,357.66,363.27
9001306,302.84,307.59
9002166,168.07,170.68
9002647,116.81,118.6
9002659,177.03,179.74
9004231,212.21,215.52
9004413,203.33,206.49
9004504,156.98,159.45
9006112,180.19,183.02
9006253,464.23,471.47
9007116,63.15,64.12
9007128,80.79,82.03
9007130,399.03,405.29
9007489,247.76,251.61
9007491,367.99,373.62
9007532,281.19,285.56
9007867,151.63,154.01
9007879,Division by zero!,Division by zero!
9008598,352.79,358.2
9008706,271.04,275.28
9008732,233.49,237.16
9010163,499.75,507.59
9010814,413.15,419.57
9010929,195.1,198.17
9011014,311.09,315.85
9014066,238.74,242.49
9014078,242.31,246.1
9014444,192.14,195.13
9014755,257.02,261.04
9015187,299.34,304.03
9015199,318.64,323.63
9015204,246.09,249.91
9015577,228.15,231.7
9015735,613.58,623.24
9015747,639.58,649.63
9016674,217.32,220.74
9017769,488.33,496.01
9018646,409.39,415.7
9018658,262.69,266.8
9019054,317.75,322.74
9019078,261.39,265.45
9019080,292.08,296.65
9019640,203.22,206.39
9019652,188.79,191.74
9020340,274.36,278.63
9020352,291.64,296.23
9021332,253.34,257.33
9021485,266.74,270.82
9030137,313.69,318.61
9030149,309.28,314.13
9031698,244.39,248.22
9031703,283.14,287.55
9031997,264.84,268.94
9032496,434.28,441.1
9033505,150.37,152.7
9034731,151.77,154.09
9034743,159.89,162.34
9035101,737.63,749.17
9035876,318.88,323.9
9037290,122.84,124.75
9037305,122.18,124.07
9038323,258.96,263
9038488,239.28,243.05
9038907,483.18,490.73
9038945,274.77,279.09
9039119,211.71,214.95
9039250,320.54,325.48
9039391,357.96,363.58
9040429,207.53,210.71
9040895,Division by zero!,Division by zero!
9044023,Division by zero!,Division by zero!
9045168,184.31,187.19
9045651,59.45,60.36
9045704,145.27,147.52
9045728,97.38,98.9
9045924,233.74,237.38
9046356,191.89,194.89
9046368,159.24,161.71
9046423,225.3,228.84
9046502,240.67,244.44
9046514,245.98,249.84
9046526,272.02,276.29
9046538,273,277.28
9047001,207.46,210.71
9047245,197.35,200.43
9047764,266.39,270.56
9048914,272.53,276.7
9050618,475.82,483.3
9050814,249.33,253.15
9050826,480.08,487.61
9051507,331.96,337.2
9051791,240.92,244.7
9053505,232.17,235.83
9053658,175.79,178.53
9053919,Division by zero!,Division by zero!
9055709,226.47,230.02
9056583,414.36,420.81
9056595,493.72,501.43
9057123,234.26,237.92
9058995,384.61,390.5
9059107,324.08,329.17
9059602,301.65,306.4
9059614,273.37,277.67
9059626,334.21,339.47
9059638,272.38,276.66
9059640,278.15,282.52
9060730,192.12,195.13
9064126,557.46,566.02
9064281,115.94,117.75
9064748,353.21,358.74
9064750,284,288.42
9064839,211.05,214.37
9065405,110.73,112.44
9065417,111.19,112.89
9066667,696.01,706.81
9070424,258.28,262.32
9070474,263.41,267.53
9070620,933.35,947.91
9070632,807.65,820.32
9071557,278.73,283.1
9071569,274.56,278.83
9071650,122.84,124.75
9072446,1058.89,1075.5
9073385,Division by zero!,Division by zero!
9073402,192.01,195.02
9073701,280.02,284.4
9074042,601.59,611.04
9075709,334.72,339.95
9075711,309,313.86
9076387,251.93,255.88
9078476,Division by zero!,Division by zero!
9078488,Division by zero!,Division by zero!
9079119,273.46,277.75
9079121,266.69,270.88
9080015,350.9,356.4
9081289,165.16,167.74
9081306,152.87,155.28
9081318,190,192.96
9081320,216.5,219.87
9081588,228.42,232.01
9081679,Division by zero!,Division by zero!
9081801,252.27,256.23
9081992,131.83,133.87
9082609,193.51,196.54
9082623,178.38,181.18
9083043,206.24,209.49
9083055,196.88,199.98
9084217,283.69,288.1
9084229,186.16,189.07
9084255,189.3,192.27
9084607,320.18,325.2
9085443,112.04,113.79
9085534,643.73,653.87
9085546,584.56,593.77
9085558,713.81,725.03
9085613,843.26,854.26
9085675,184.89,187.78
9085895,153.8,156.19
9085900,163.68,166.21
9086318,181.24,184.06
9086320,160.94,163.44
9086526,244.47,248.29
9086588,470.64,477.97
9086590,585.33,594.53
9086734,979.35,992.86
9087116,332.6,337.76
9087350,262.41,266.49
9087362,254.4,258.36
9087374,242.89,246.67
9087465,401.9,408.24
9087477,403.32,409.62
9087726,350.4,355.86
9088249,274.09,278.38
9088524,258.96,262.96
9088859,546.07,554.65
9100073,266.05,270.24
9100255,195.57,198.61
9100267,580.41,589.55
9100530,144.69,146.96
9101730,151.68,154
9102069,447.61,454.73
9102071,407.21,413.56
9102083,413.37,419.8
9102100,423.78,430.4
9102978,831.64,844.75
9103013,78.29,79.49
9103130,256.99,261
9103350,114.94,116.74
9103362,Division by zero!,Division by zero!
9103374,96.67,98.18
9103386,117.77,119.59
9103398,200.12,203.24
9103685,555.52,564.24
9104110,217.09,220.5
9104263,253.59,257.52
9104421,Division by zero!,Division by zero!
9104562,Division by zero!,Division by zero!
9104811,192.8,195.76
9104835,977.76,992.96
9106211,339.47,344.67
9106297,1069.06,1085.82
9106479,247.65,251.52
9106493,243.85,247.66
9106974,161.11,163.61
9106986,145.03,147.29
9107318,257.99,262.03
9107681,463.41,470.68
9107772,233.54,237.11
9107784,219.99,223.36
9107796,221.87,225.27
9108063,180.75,183.56
9108128,347.55,352.98
9108130,404.93,411.27
9108350,399.3,405.52
9108398,243.24,247.07
9108556,217.49,220.9
9108568,235.45,239.15
9108740,167.42,169.98
9109378,219.05,222.48
9109512,133.69,135.78
9109536,223.5,226.96
9109548,191.28,194.24
9109940,Division by zero!,Division by zero!
9109964,Division by zero!,Division by zero!
9110016,311.28,316.17
9110315,165.65,168.24
9110339,187.81,190.74
9110377,577.49,586.59
9110389,699.61,710.56
9110391,640.33,650.41
9110913,Division by zero!,Division by zero!
9111357,182.02,184.88
9111371,Division by zero!,Division by zero!
9112466,190.48,193.43
9112765,271.25,275.52
9112777,231.62,235.26
9113018,193.05,196.06
9113381,209.66,212.92
9113446,218.04,221.44
9113719,118.75,120.61
9113850,188.99,191.92
9113903,177.33,180.09
9114232,288.61,293.11
9114244,313.64,318.55
9114347,98.24,99.79
9114490,222.51,226.02
9114543,207.72,210.98
9114610,165,167.6
9116084,107.79,109.48
9116369,392.34,398.45
9116448,94.38,95.84
9116515,188.49,191.43
9116876,978.5,993.84
9117416,168.31,170.92
9117739,271.14,275.39
9117741,312.39,317.26
9117832,198.75,201.83
9117868,728.16,739.4
9117985,196.74,199.75
9118147,215.76,219.15
9118238,184.49,187.32
9118252,122.17,124.06
9118264,151.16,153.5
9118496,151.23,153.54
9118513,318.37,323.34
9119074,228.06,231.57
9119086,Division by zero!,Division by zero!
9119907,101.74,103.3
9120205,174.08,176.81
9120243,150.57,152.88
9120853,798.15,810.7
9121273,349.5,354.96
9121297,240.32,244.08
9121912,165.45,167.98
9121998,263.14,267.28
9122007,242.94,246.76
9122473,384.03,389.91
9122552,674.55,685.13
9122655,345.94,351.4
9122899,121.71,123.62
9122930,311.79,316.96
9122942,327.49,332.67
9122966,349.68,355.2
9123099,225.1,228.62
9123702,150.53,152.87
9123788,191.04,194.05
9123960,225.1,228.61
9124469,432.74,439.81
9124471,446.67,454.12
9124782,183.34,186.2
9124926,147.87,150.17
9125217,187.16,190.09
9125229,180.25,183.08
9125267,171.16,173.84
9125279,115.85,117.66
9125384,281.9,286.33
9125566,245.71,249.54
9125944,436.32,443.1
9126223,181.39,184.24
9126235,172.24,174.95
9126247,172.47,175.18
9126742,207.25,210.49
9126754,222.64,226.11
9126766,207.49,210.73
9126924,247.56,251.44
9126998,301.91,306.64
9127007,287.03,291.52
9127071,Division by zero!,Division by zero!
9127136,370.74,376.51
9127459,193.03,196.07
9127540,279.52,283.93
9127576,401.83,407.99
9127928,210.73,214.03
9128049,269.3,273.52
9128051,282.43,286.87
9128063,269.61,273.83
9128104,185.84,188.72
9128154,236.7,240.41
9128415,Division by zero!,Division by zero!
9128427,235.98,239.66
9128532,861.53,875.08
9128544,195.62,198.69
9129263,141.42,143.58
9129469,180.01,182.77
9129586,357.77,363.37
9129598,249.73,253.65
9129873,334.71,339.96
9130949,407.48,413.85
9130951,434.89,441.69
9131797,488.74,496.35
9131943,231.82,235.46
9131955,156.05,158.51
9131993,185.28,188.12
9132014,432.2,438.97
9132480,161.82,164.33
9132492,155.79,158.21
9132662,171.55,174.22
9132791,793.68,805.23
9132818,890.53,901.99
9133757,156.7,159.13
9133915,506.29,514.17
9134153,173.43,176.16
9134701,Division by zero!,Division by zero!
9135262,639.3,649.35
9135468,162.23,164.77
9135482,255.71,259.68
9135638,302.25,306.92
9135896,441.56,448.33
9136034,361.56,367.24
9136539,174.39,177.1
9136565,Division by zero!,Division by zero!
9136785,222.8,226.27
9136931,Division by zero!,Division by zero!
9136967,119.43,121.3
9137234,64.47,65.45
9137997,610.82,620.41
9138006,492.95,500.68
9138111,346.57,351.97
9138276,391.09,397.24
9138329,327.51,332.53
9138355,185.78,188.69
9138381,418.41,424.98
9138393,372.61,378.46
9138408,191.56,194.55
9138410,386.55,392.61
9138422,411.31,417.78
9138446,176.25,178.99
9138513,365.34,371.01
9138525,362.67,368.34
9138642,202.57,205.72
9138692,226.32,229.86
9138783,391.55,397.69
9139256,420.98,427.49
9139294,261.38,265.49
9139309,238.6,242.36
9139311,249.02,252.93
9139646,114.14,115.94
9140437,Division by zero!,Division by zero!
9140528,385.81,391.79
9141118,231.19,234.83
9141235,193.73,196.73
9141297,507.07,515.01
9141780,300.73,305.45
9141807,365.75,371.35
9142215,199.46,202.56
9142459,334.43,339.7
9142461,330.21,335.41
9142514,152.48,154.82
9142540,174.75,177.49
9142552,139.13,141.27
9142564,155.1,157.49
9142605,670.59,681.09
9142954,Division by zero!,Division by zero!
9142992,Division by zero!,Division by zero!
9143099,254.05,258.04
9143207,289.51,294.03
9143219,274.06,278.36
9143439,438.01,444.78
9143441,679.99,690.7
9143491,277.91,282.23
9143544,494.49,502.26
9143568,488.13,495.79
9143702,381.65,387.64
9143726,Division by zero!,Division by zero!
9143752,Division by zero!,Division by zero!
9143855,79.76,81
9143879,219.2,222.61
9143972,218.97,222.41
9144081,152.79,155.13
9144093,154.32,156.68
9144251,119.41,121.24
9144263,121.07,122.93
9144354,265.31,269.42
9144419,228.26,231.86
9144421,223.75,227.27
9144718,230.66,234.29
9144720,239.89,243.67
9144732,554.05,562.76
9144744,529.74,538.06
9144811,574.42,583.46
9145164,508.1,516.05
9145176,498.92,506.57
9145229,204.53,207.66
9145231,198.17,201.21
9145413,15056.93,15287.53
9145645,196.87,199.91
9145956,182.21,185.06
9146053,104.02,105.64
9146118,Division by zero!,Division by zero!
9146120,150.38,152.71
9146467,803.88,816.49
9146479,780.41,792.65
9146895,200.46,203.61
9146962,228.12,231.68
9146974,252.69,256.65
9147071,413.6,420.07
9147215,301.02,305.71
9147681,258.82,262.88
9147708,240.63,244.41
9147710,274.99,279.32
9147734,215.76,219.06
9147746,270.57,274.79
9147863,112.49,114.23
9147875,108.99,110.66
9148025,215.27,218.63
9148582,212.1,215.43
9149328,350.77,356.2
9149495,267.24,271.45
9149512,265.56,269.73
9149524,226.98,230.55
9149677,209.68,212.97
9149732,174.87,177.58
9149885,394.44,400.63
9149897,365.45,371.16
9150030,180.27,183.03
9150080,192.93,195.96
9150315,265.84,270.02
9150327,191.03,194.02
9150339,202.73,206.22
9150420,182.03,184.89
9150614,225.1,228.64
9150743,227.89,231.42
9150810,266.17,270.34
9150822,265.64,269.8
9151008,425.23,431.74
9151101,246.15,249.99
9151113,Division by zero!,Division by zero!
9151395,150.13,152.46
9151400,Division by zero!,Division by zero!
9151515,203.92,207.11
9151539,254.27,258.27
9151541,259.28,263.36
9152181,197.98,201.08
9152478,Division by zero!,Division by zero!
9152820,384.95,390.95
9152856,390.89,397.03
9152911,Division by zero!,Division by zero!
9152923,285.65,290.1
9153020,404.47,410.83
9153032,395.73,401.96
9153214,165.27,167.86
9153496,Division by zero!,Division by zero!
9153642,201.72,204.89
9153654,200.69,203.82
9153783,311.53,316.41
9153850,682.28,693.01
9153862,679.89,690.6
9154220,367.51,373.29
9154268,200.07,203.18
9154270,146.19,148.46
9154282,183.75,186.62
9154505,244.05,247.88
9154854,Division by zero!,Division by zero!
9155107,391.95,398.09
9155925,127.89,129.86
9156462,500.87,508.54
9156515,715.11,726.31
9156527,722.34,733.56
9156539,135.09,137.2
9157284,363.1,368.82
9157868,196.15,199.24
9158070,129.83,131.82
9158082,118.4,120.21
9158159,211.22,214.51
9158276,277.43,281.8
9158458,217.41,220.79
9158525,373.12,378.94
9158549,227.23,230.76
9158616,340.66,345.97
9159000,93.97,95.43
9159012,Division by zero!,Division by zero!
9159062,207.94,211.2
9159103,Division by zero!,Division by zero!
9159115,237.17,240.86
9159402,Division by zero!,Division by zero!
9159581,124.2,126.13
9159737,217.18,220.56
9160310,236.26,239.94
9160334,145.52,147.76
9160346,132.46,134.5
9160724,Division by zero!,Division by zero!
9160736,309.64,314.51
9160774,275,279.32
9160798,239.86,243.64
9160803,263.68,267.77
9160920,247.23,251.11
9161481,Division by zero!,Division by zero!
9161560,449.62,456.51
9161716,1289.89,1310.1
9161728,1199.66,1218.55
9161869,125.21,127.16
9161948,564.57,573.46
9162215,735.13,746.72
9162409,229.26,232.82
9162411,210.43,213.71
9162631,418.06,424.64
9162643,349.29,354.78
9162681,198.84,201.96
9163403,140.05,142.23
9163489,270.89,275.1
9163491,239.09,242.8
9163685,147.04,149.31
9163697,138.59,140.73
9164275,189.67,192.67
9164706,Division by zero!,Division by zero!
9164756,331.55,336.77
9164768,330.88,336.09
9164770,336.36,341.66
9164782,298.71,303.42
9164794,185.03,187.89
9164809,192.92,195.94
9164811,179.96,182.75
9165059,123.48,125.41
9165310,289.36,293.9
9165865,99.49,101.05
9166211,189.46,192.44
9166223,449.63,456.7
9166625,296.81,301.47
9166637,275.46,279.71
9166651,353.23,358.76
9166778,793.53,806.03
9166780,880.71,894.53
9166895,Division by zero!,Division by zero!
9167150,415.14,421.59
9167227,1302.93,1323.1
9167318,132.97,135.06
9167801,321,326.02
9167942,266.57,270.74
9168154,259.14,263.19
9168403,125.69,127.64
