IMO Number,CO₂ emissions per distance [kg CO₂ / n mile],CO₂eq emissions per distance [kg CO₂eq / n mile]
9363314,183.79,186.67
9363417,325.39,330.48
9363479,359.85,365.47
9363493,266.59,270.77
9363508,145.35,147.64
9363534,178.98,181.78
9363637,278.41,282.75
9363649,Division by zero!,Division by zero!
9363663,260.79,264.87
9363675,211.4,214.72
9363766,177.83,180.6
9363780,341.04,346.36
9363819,204.7,207.87
9363821,199.27,202.4
9363833,219.09,222.53
9363845,232.9,236.49
9363883,184.54,187.41
9363948,348.41,353.86
9363950,343.13,348.52
9363974,91.37,92.77
9363986,95.83,97.3
9363998,113.13,114.91
9364007,110.9,112.63
9364019,128.47,130.49
9364136,128.61,130.61
9364148,132.62,134.67
9364203,469.79,477.2
9364239,634.68,644.64
9364344,Division by zero!,Division by zero!
9364526,175.79,178.54
9364588,426.53,433.2
9364722,775.01,787.19
9364746,265.36,269.52
9364758,357.43,363.07
9364801,296.69,301.33
9364825,Division by zero!,Division by zero!
9364851,Division by zero!,Division by zero!
9364978,403.45,409.63
9364980,455.86,463.03
9364992,713.18,724.42
9365001,393.68,399.88
9365049,138.55,140.71
9365245,Division by zero!,Division by zero!
9365257,Division by zero!,Division by zero!
9365269,94.97,96.46
9365362,294.11,298.72
9365374,359.65,365.24
9365386,397.48,403.62
9365398,667.34,677.81
9365477,264.9,268.98
9365506,139.68,141.82
9365518,143.33,145.57
9365623,322.07,327.13
9365635,458.25,465.42
9365659,207.97,211.18
9365661,214.19,217.54
9365805,691.57,702.49
9365817,304.09,308.85
9365829,311.29,316.19
9365843,331.39,336.59
9365855,358.85,364.5
9365867,367.48,373.28
9365879,355.56,361.16
9365960,251.98,255.92
9365972,255.27,259.26
9365984,228.8,232.38
9365996,200.38,203.45
9366108,297.16,301.84
9366122,159.75,162.25
9366134,157.22,159.67
9366146,143.53,145.76
9366158,149.94,152.27
9366160,154.97,157.38
9366263,308.73,313.56
9366275,293.54,298.14
9366445,255.97,259.99
9366457,Division by zero!,Division by zero!
9366469,191.35,194.37
9366471,252.93,256.91
9366483,157.6,160.08
9367073,189.76,192.7
9367358,192.15,195.1
9367372,395.37,401.43
9367554,237.09,240.8
9367671,299.24,303.9
9367683,329.26,334.4
9367695,263.44,267.54
9367712,266.39,270.55
9367748,310.81,315.69
9367750,461.31,468.51
9367839,362.74,368.45
9367906,194.81,197.86
9368041,237.7,241.39
9368194,178.07,180.87
9368314,636.32,750.3
9368326,239.55,243.26
9368730,315.18,320.14
9368778,240.8,244.54
9368780,198.75,201.85
9368792,213.35,216.67
9368845,320.23,325.27
9368857,261.66,265.78
9368869,Division by zero!,Division by zero!
9368871,267.53,271.72
9368895,327,332.13
9368900,345.67,351.08
9368912,273,277.27
9369007,214.48,217.8
9369069,158.57,161.04
9369071,175.14,177.88
9369083,141.81,143.99
9369095,151.12,153.49
9369162,239.64,243.33
9369291,110.14,111.83
9369306,110.29,111.99
9369461,378.4,384.32
9369734,585.22,594.45
9369758,587.42,596.68
9369760,Division by zero!,Division by zero!
9369772,285.73,290.2
9369851,Division by zero!,Division by zero!
9369887,333.93,339.12
9369904,702.47,855.11
9370006,223.39,226.87
9370018,233.23,236.8
9370082,164.7,167.27
9370094,266.49,270.63
9370109,182.32,185.16
9370147,Division by zero!,Division by zero!
9370197,257.59,261.64
9370317,201.95,205.12
9370331,234.91,238.59
9370381,246.48,250.34
9370393,155.74,158.17
9370408,222.48,225.97
9370422,217.77,221.18
9370525,210.92,214.21
9370719,243.63,247.46
9370757,205.58,208.78
9370795,204.06,207.25
9370836,1476.33,1499.34
9370848,556.32,564.98
9370850,448.8,455.84
9370977,205.22,208.45
9371062,242.17,245.98
9371086,289.61,294.15
9371359,201.71,204.87
9371402,326.11,331.21
9371414,254.34,258.35
9371426,275.99,280.22
9371610,241.47,245.17
9371684,225.03,228.56
9371787,245.46,249.28
9371804,204.42,207.73
9371878,183.67,186.49
9372171,411.71,418.02
9372200,294.45,298.99
9372274,293.73,298.26
9372420,343.7,349.09
9372432,336.69,341.98
9372456,1224.04,1243.27
9372468,99.18,100.72
9372470,615.97,625.65
9372482,547.73,556.35
9372494,613.62,623.28
9372585,274.72,279.02
9372602,162.97,165.5
9372640,194.43,197.46
9372652,201.87,204.96
9372858,Division by zero!,Division by zero!
9372860,442.68,449.64
9372872,303.3,308.01
9372913,Division by zero!,Division by zero!
9372925,166.59,169.18
9373137,388.43,394.51
9373230,297.39,302.04
9373242,Division by zero!,Division by zero!
9373498,290.46,295.03
9373591,184.75,187.65
9373632,297.06,301.61
9373644,289.85,294.29
9373656,554.91,563.61
9373668,509.26,517.25
9373905,277.69,282.05
9373917,316.45,321.41
9373929,171.6,174.29
9374002,238.41,242.12
9374234,411.31,417.73
9374272,276,280.34
9374301,312.24,317.1
9374351,263.02,267.15
9374387,164.66,167.24
9374416,252.91,256.86
9374428,340.89,346.19
9374507,318.73,323.66
9374519,702.54,713.59
9374521,272.25,276.51
9374533,272.01,276.25
9374557,164.16,166.73
9374569,188.9,191.86
9374856,Division by zero!,Division by zero!
9374973,201.19,204.35
9375082,Division by zero!,Division by zero!
9375238,849.48,862.73
9375252,218.02,221.35
9375264,291.37,295.91
9375288,308.2,313
9375604,318.67,323.65
9375616,326.61,331.73
9375654,532.6,540.76
9375707,Division by zero!,Division by zero!
9375721,815.22,823.92
9375915,267.63,271.85
9375953,144.33,146.58
9376000,198.56,201.68
9376036,235.58,239.27
9376048,203.24,206.4
9376050,236,239.68
9376141,408.78,415.18
9376309,357.22,362.84
9376361,Division by zero!,Division by zero!
9376488,318.89,323.88
9376490,308.61,313.44
9376505,325.03,330.13
9376658,155.02,157.46
9376660,135.93,138.06
9376696,304.67,309.42
9376701,307.29,312.07
9376713,323.05,328.08
9376725,315.39,320.3
9376749,660.56,670.95
9376816,369.98,375.75
9376828,333.98,339.21
9376854,434.02,440.76
9376892,304.59,309.38
9377054,236.96,240.6
9377078,312.9,317.82
9377195,209.39,212.65
9377200,223.92,227.41
9377224,406.78,413.1
9377236,334.58,339.8
9377248,390.38,396.49
9377420,Division by zero!,Division by zero!
9377470,426.33,433.02
9377482,430.06,436.8
9377494,346.54,351.93
9377509,346.16,351.54
9377511,372.05,377.83
9377523,364.69,370.36
9377559,383.04,389.06
9377652,484.28,491.84
9377664,341.12,346.43
9377717,209.49,212.78
9377779,449.87,456.95
9377781,361.46,367.14
9377846,179.01,181.82
9377937,Division by zero!,Division by zero!
9377963,220.75,224.18
9378022,Division by zero!,Division by zero!
9378230,142.06,144.3
9378242,118.97,120.8
9378254,124.28,126.21
9378278,283.96,288.31
9378280,290.9,295.39
9378292,277.6,281.89
9378307,292.06,296.53
9378319,Division by zero!,Division by zero!
9378321,199.88,202.98
9378369,547.77,556.36
9378371,364.71,370.42
9378448,1052.47,1068.9
9378462,1372.27,1393.56
9378498,1099.47,1116.56
9378682,645.89,656.04
9378723,223.93,227.36
9378735,205.85,209.01
9378826,196.53,199.63
9378864,495.74,503.51
9378876,608.65,618.22
9378929,279.07,283.44
9379038,246.51,250.37
9379064,382.95,388.96
9379129,409.44,415.77
9379131,321.09,326.06
9379143,491.49,499.08
9379210,465.84,473.12
9379313,303.6,308.33
9379337,468.54,475.85
9379349,329.91,335.09
9379351,344.09,349.5
9379650,246.75,250.59
9379662,243.88,247.67
9379844,177.99,180.79
9379894,418.26,424.73
9379909,251.8,255.75
9379911,286.38,290.84
9379961,351.17,356.68
9379973,205.23,208.44
9380051,280.6,284.97
9380063,309.62,314.46
9380075,269.1,273.31
9380087,Division by zero!,Division by zero!
9380350,334.58,339.78
9380362,332.43,337.62
9380374,279,283.33
9380386,364.52,370.21
9380398,396.87,403.09
9380403,516.15,524.29
9380477,467.99,475.25
9380489,443.34,450.2
9380518,312.86,317.74
9380570,351.46,356.94
9380582,299.09,303.78
9380594,377.29,383.18
9380738,Division by zero!,Division by zero!
9380740,454.25,461.38
9380788,295.14,299.77
9380805,205.57,208.78
9380817,238.49,242.25
9380829,335.32,340.57
9380831,321.65,326.68
9380893,613.04,622.5
9380972,170.71,173.37
9381196,Division by zero!,Division by zero!
9381201,364.2,369.9
9381213,260.43,264.53
9381237,309.52,314.33
9381249,326.99,332.11
9381275,209.12,212.41
9381380,121.5,123.36
9381392,147.89,150.22
9381407,160.42,162.88
9381419,100.47,102.03
9381421,123.44,125.33
9381433,134.68,136.77
9381500,335.31,340.57
9381512,410.95,417.35
9381524,256.73,260.77
9381665,304.27,309.04
9381706,220.91,224.35
9381756,367.62,373.31
9381768,274.43,278.71
9381809,138.21,140.38
9381835,253.33,257.3
9381861,184.2,187.08
9381873,255.02,258.97
9381938,113.93,115.69
9382085,339.29,344.63
9382102,278.37,282.75
9382114,128.64,130.61
9382396,282.35,286.77
9382736,316.64,321.57
9382750,451.9,458.97
9382762,511.05,519.08
9382956,Division by zero!,Division by zero!
9382968,Division by zero!,Division by zero!
9382970,516.08,524.15
9382982,602,611.45
9383089,91.6,93.01
9383106,372,377.79
9383259,411.74,418.21
9383326,101.3,102.88
9383417,335.46,340.67
9383429,376.55,382.44
9383431,326.4,331.54
9383443,265.01,269.14
9383558,221.42,224.9
9383560,148.44,150.71
9383651,149.9,152.24
9383730,104.18,105.81
9383857,346.96,352.41
9383869,386.5,392.57
9383883,117.06,118.87
9383900,768.8,969.25
9383936,2049.04,2081.36
9383962,351.79,357.24
9383974,333.76,338.93
9384019,289.2,293.73
9384069,478.58,486.1
9384112,380.78,386.69
9384124,Division by zero!,Division by zero!
9384136,351.77,357.22
9384162,220.98,224.43
9384174,112.53,114.29
9384186,110.99,112.72
9384320,176.04,178.79
9384370,270.09,274.34
9384540,280.77,285.17
9384564,389.29,395.38
9384590,816.79,829.63
9384863,201.83,204.95
9384992,467.86,475.14
9385013,633.07,643.07
9385063,282.17,286.58
9385075,173.72,176.42
9385087,252.91,256.78
9385099,205.43,208.66
9385154,239.15,242.89
9385166,240.28,244
9385178,351.64,357.1
9385192,509.74,517.71
9385221,125.45,127.41
9385477,525.72,533.8
9385489,340.84,346.13
9385491,246.96,250.81
9385506,274.97,279.29
9385532,310.51,315.4
9385817,102.98,104.58
9385843,587.08,596.28
9385881,135.93,138.01
9385893,136.6,138.73
9385908,130.65,132.7
9385922,139.06,141.23
9385972,437.92,444.83
9385996,434.19,441.02
9386017,362.95,368.67
9386146,57.52,58.41
9386225,237.36,241.19
9386249,224.24,227.72
9386392,293.64,298.19
9386407,281.11,285.49
9386421,Division by zero!,Division by zero!
9386471,457.09,464.28
9386483,555.74,564.45
9386495,534.64,543.05
9386524,291.49,296.02
9386718,336.18,341.47
9386861,322.94,327.97
9386914,249.97,253.86
9386926,283.28,287.7
9386976,256.15,260.18
9386988,227.78,231.36
9387073,1093.63,1110.73
9387085,1290.46,1310.52
9387279,369.17,374.91
9387281,428.09,434.74
9387360,299.78,304.48
9387425,265.7,269.87
9387451,274.47,278.79
9387463,337.06,342.32
9387566,552.92,561.61
9387578,Division by zero!,Division by zero!
9387580,309.01,313.81
9387592,250.09,254.09
9387607,133.3,135.39
9387621,93.21,94.66
9387683,346.06,351.48
9387724,323.9,329
9387736,152.17,154.53
9387748,125.87,127.82
9387918,278.62,282.99
9387920,338.83,344.15
9388003,278.44,282.75
9388015,323.8,328.83
9388209,322.84,327.88
9388297,Division by zero!,Division by zero!
9388314,272.49,276.77
9388338,336.72,341.99
9388388,284.89,289.37
9388390,235.98,239.69
9388479,224.66,228.1
9388510,260.5,264.59
9388522,240.66,244.44
9388534,229.07,232.65
9388704,270.34,274.54
9388716,300.4,305.13
9388728,484.63,492.19
9388730,544.16,552.69
9388778,440.71,447.62
9388807,464.3,471.58
9388883,191.52,194.51
9388895,168.96,171.58
9388900,182.85,185.72
9388948,304.97,309.77
9389021,Division by zero!,Division by zero!
9389033,592.18,601.48
9389071,440.43,447.35
9389083,409.05,415.47
9389095,562.37,571.19
9389100,473.63,481.08
9389124,250.65,254.59
9389227,Division by zero!,Division by zero!
9389277,515.17,523.27
9389289,309.75,314.59
9389306,197.32,200.35
9389318,339.7,345.02
9389382,405.16,411.53
9389411,Division by zero!,Division by zero!
9389497,370.32,376.09
9389514,364.65,370.31
9389526,366.49,372.23
9389564,415.13,421.58
9389681,386.85,392.94
9389693,430.6,437.35
9389813,433.35,440.18
9389849,386.32,392.39
9389851,312.47,317.39
9389863,369.77,375.52
9389899,629.15,639.01
9389930,255.89,259.9
9389978,441.78,448.72
9390161,307.72,312.56
9390367,366.51,431.07
9390537,128.57,130.58
9390599,420.09,426.67
9390628,485.45,493.07
9390692,Division by zero!,Division by zero!
9390769,295.5,300.15
9390812,173.87,176.6
9390824,205.14,208.37
9390927,Division by zero!,Division by zero!
9390939,Division by zero!,Division by zero!
9390991,190.6,193.52
9391000,195.28,198.27
9391024,154.17,156.57
9391036,145.28,147.53
9391141,237.09,240.8
9391153,247.3,251.17
9391282,314.56,319.48
9391311,421.74,428.32
9391373,441.48,448.36
9391385,234.7,238.37
9391397,307.16,311.96
9391402,448.94,455.92
9391414,303.83,308.57
9391426,302.61,307.35
9391440,352.9,358.46
9391488,291.12,295.62
9391490,Division by zero!,Division by zero!
9391505,311.07,315.89
9391529,326.69,331.81
9391567,312.49,317.42
9391579,311.56,316.39
9391581,327.78,332.9
9391593,295.64,300.45
9391646,486.42,494.08
9391672,446.45,453.45
9391787,580.88,590.03
9391828,200.08,203.21
9391945,456.45,463.55
9391957,424.48,431.1
9391983,177.36,180.15
9392078,277.32,281.67
9392092,202.07,205.22
9392107,126.22,128.19
9392119,271.12,275.37
9392133,210.75,214.05
9392171,206.81,210.03
9392183,138.94,141.11
9392250,187.41,190.33
9392315,424.65,431.29
9392341,224.4,227.93
9392391,277.73,282.08
9392432,389.13,395.25
9392444,341.43,346.79
9392468,282.87,287.33
9392470,320.44,325.47
9392482,322.38,327.45
9392729,Division by zero!,Division by zero!
9392781,370.13,375.94
9392999,228.83,232.41
9393008,267.97,272.14
9393010,340.79,346.13
9393022,840.62,853.49
9393060,296.14,300.69
9393072,272.15,276.33
9393096,320.29,325.33
9393149,213.37,216.7
9393151,262.21,266.33
9393163,262.51,266.62
9393242,313.59,318.51
9393319,817.15,829.97
9393321,806.86,819.5
9393383,175.18,177.92
9393395,186.17,189.07
9393448,236.33,240
9393450,282.28,286.68
9393462,251.09,254.99
9393474,271.17,275.38
9393527,201.61,204.7
9393541,222.56,226.05
9393565,213.7,217.05
9393618,314.29,319.2
9393620,218.22,221.63
9393632,761.93,773.74
9393656,146.9,149.16
9393668,180.38,183.17
9393981,276.37,280.61
9394040,295.73,300.38
9394222,226.09,229.64
9394234,225.79,229.34
9394519,237.9,241.56
9394753,Division by zero!,Division by zero!
9394765,Division by zero!,Division by zero!
9394882,424.47,431.2
9394894,483.29,491.06
9394909,290.52,295.08
9395109,310.92,315.89
9395147,739.8,751.42
9395159,738.93,750.52
9395161,730.42,741.93
9395214,319.93,324.9
9395305,875.74,889.54
9395329,490.11,497.8
9395331,487.86,495.54
9395343,420.27,426.81
9395355,410.76,417.86
9395563,239.28,243.08
9395575,257.71,261.76
9395599,294.12,298.73
9395616,269.83,274.04
9395630,326.75,331.88
9395733,201.47,204.56
9395989,241.41,245.14
9396000,253.39,257.33
9396012,281.12,285.48
9396024,251.54,255.47
9396139,320.57,325.58
9396141,281.36,285.76
9396153,334.8,339.99
9396206,266.76,270.96
9396218,277.28,281.6
9396323,317.67,322.63
9396335,294.76,299.34
9396359,175.74,178.5
9396373,312.55,317.45
9396385,305.3,310.07
9396529,93.71,95.17
9396543,118.32,120.16
9396555,110.69,112.42
9396610,301.75,306.47
9396622,321.97,327.01
9396634,363.4,369.08
9396660,450.58,457.66
9396696,267.77,271.94
9396713,359.64,365.23
9396737,266.02,270.17
9396763,295.21,299.83
9396787,341.39,346.69
9397171,218.91,222.34
9397200,151.92,154.28
9397236,199.4,202.54
9397327,891.03,905.07
9397420,281.28,285.65
9397511,281.06,285.44
9397585,477.19,484.69
9397602,449.81,456.9
9397614,493.78,501.53
9397896,425.97,432.6
9397913,560.46,569.26
9397999,237.01,240.7
9398072,863.12,876.67
9398084,Division by zero!,Division by zero!
9398228,682.18,692.87
9398266,521.08,529.25
9398280,689.55,700.25
9398307,364.73,370.44
9398321,369.8,375.61
9398333,327.22,332.3
9398371,767.57,779.64
9398383,877.41,891.2
9398400,933.91,948.63
9398412,803.45,816.12
9398448,933.16,947.87
9398450,928.83,943.47
9398462,886.39,900.36
9398527,718.72,730
9398668,305.08,309.85
9398723,395.01,401.17
9398747,499.63,507.49
9398773,285.21,289.64
9398888,818.34,831.12
9398890,478.78,486.31
9398917,1019.55,1035.52
9399002,1112.43,1129.85
9399014,985.16,1000.69
9399038,1387.59,1409.29
9399040,964.31,979.5
9399052,1186.53,1205.19
9399088,Division by zero!,Division by zero!
9399105,327.19,332.33
9399129,124,125.93
9399210,823.65,836.61
9399222,844.4,857.66
9399272,335.78,341.04
9399325,634.92,644.92
9399349,403.29,409.59
9399351,329.09,334.23
9399363,334.89,340.12
9399478,534.01,542.37
9399492,372.36,378.19
9399507,395.86,402.08
9399557,613.74,623.35
9399612,351.85,357.31
9399739,Division by zero!,Division by zero!
9399741,426.44,433.14
9399765,432.92,439.67
9399777,Division by zero!,Division by zero!
9399789,461.59,468.78
9399806,445.15,452.12
9399911,452.71,459.78
9400071,Division by zero!,Division by zero!
9400095,643.5,655.2
9400100,600.53,611.63
9400203,Division by zero!,Division by zero!
9400215,528.38,536.66
9400291,526.44,534.66
9400370,197.02,200.1
9400382,245.96,249.8
9400394,266.7,270.89
9400409,354.58,360.07
9400473,283.58,288.01
9400588,115.06,116.84
9400708,208.98,212.23
9400849,275.08,279.39
9400875,199.7,202.82
9400887,252.14,256.06
9400904,223.95,227.44
9400916,247.3,251.16
9400928,236.01,239.68
9400930,204.74,207.94
9400942,235.96,239.63
9400954,226.68,230.25
9400980,450.59,457.65
9401075,471.12,478.53
9401099,612.6,622.23
9401104,837.52,850.6
9401116,789.69,802.11
9401128,377.63,383.55
9401130,1035.14,1051.43
9401166,437.42,444.29
9401178,535.77,544.2
9401283,641.54,651.52
9401295,800.51,1018.04
9401336,126.05,128.01
9401362,365.7,371.39
9401489,277.68,282.05
9401491,Division by zero!,Division by zero!
9401544,234.93,238.53
9401556,247.56,251.35
9401570,158.23,160.7
9401673,297.2,301.87
9401685,419.49,426.08
9401788,232.68,236.33
9401790,325.74,330.8
9401805,282.4,286.85
9401829,251.74,255.68
9401831,229.3,232.89
9401843,286.82,291.34
9401867,370.5,376.29
9401879,249.24,253.12
9401910,268.41,272.6
9401922,273.2,277.45
9401934,255.56,259.56
9401946,250.62,254.55
9401960,Division by zero!,Division by zero!
9401972,242.51,246.31
9401984,255.63,259.63
9402029,427.29,434.07
9402043,178.1,180.9
9402055,190.64,193.62
9402067,165.32,167.91
9402081,187.92,190.86
9402093,192.41,195.41
9402110,255.27,259.26
9402122,254.6,258.58
9402213,392.32,398.47
9402225,431.39,438.15
9402237,453.24,460.31
9402249,398.65,404.9
9402263,408.92,415.3
9402287,434.39,441.24
9402304,471.05,478.41
9402495,453.25,460.33
9402562,Division by zero!,Division by zero!
9402627,392.56,398.72
9402706,274.25,278.57
9402718,300.13,304.83
9402744,247.76,251.62
9402782,326.39,331.46
9402823,267.8,271.9
9402835,255.72,259.64
9402902,507.67,515.65
9402914,545,553.55
9402926,597.86,607.22
9403023,270.84,275.09
9403035,263.17,267.26
9403085,248.29,252.17
9403114,250.05,253.98
9403188,319.18,324.18
9403190,283.96,288.42
9403205,232.34,236
9403255,Division by zero!,Division by zero!
9403281,267.33,271.54
9403310,320.98,325.99
9403322,413.28,419.68
9403346,239.85,243.57
9403372,191.3,194.3
9403384,210.61,213.88
9403396,623.91,633.72
9403437,286.72,291.21
9403449,363.7,369.36
9403516,516.6,524.73
9403528,482.1,489.65
9403542,Division by zero!,Division by zero!
9403554,425.39,432.07
9403619,612.32,621.89
9403774,270.74,274.98
9403841,168.44,171.09
9404065,202.73,205.92
9404077,207.74,211
9404089,221.31,224.73
9404091,212.27,215.58
9404223,Division by zero!,Division by zero!
9404314,1231.36,1250.5
9404338,Division by zero!,Division by zero!
9404376,236.71,240.42
9404388,202.86,205.96
9404429,264.07,268.21
9404431,271.28,275.53
9404443,239.11,242.87
9404584,198.13,251.69
9404625,188.82,191.71
9404649,1072.24,1089.12
9404651,1001.65,1017.44
9404663,1066.8,1083.61
9404675,973.42,988.74
9404704,273.93,278.22
9404716,258.55,262.63
9404766,373.52,379.39
9404792,239.33,243.05
9404807,234.93,238.61
9404821,202.38,205.57
9404833,405.81,412.19
9404845,402.18,408.49
9404936,496,503.76
9404950,444.75,451.7
9405320,327,332.07
9405423,469.27,476.66
9405435,360.29,365.95
9405485,316.06,320.98
9405497,335.04,340.25
9405538,314.76,319.69
9405540,416.23,422.75
9405552,Division by zero!,Division by zero!
9405564,Division by zero!,Division by zero!
9405746,214.51,217.85
9405772,156.83,159.26
9405796,141.74,143.95
9405849,263.19,267.32
9405851,278.28,282.65
9405899,344.41,349.8
9406037,Division by zero!,Division by zero!
9406049,241.92,245.7
9406051,202.19,205.37
9406063,239.72,243.48
9406087,231.29,234.9
9406104,266.18,270.34
9406116,224.86,228.38
9406128,268.25,272.4
9406269,Division by zero!,Division by zero!
9406582,205.03,208.22
9406611,564.1,572.93
9406635,649.11,659.34
9406659,498.37,506.12
9406673,453.58,460.69
9406685,578.33,587.41
9406702,118.68,120.53
9406738,835.79,848.9
9406805,Division by zero!,Division by zero!
9406829,292.27,296.85
9406910,Division by zero!,Division by zero!
9406934,435.93,442.77
9406958,142.76,144.94
9406960,267.01,271.21
9407067,233.72,237.35
9407093,Division by zero!,Division by zero!
9407146,473.22,480.66
9407158,508.01,516.01
9407263,306.63,311.44
9407328,224.33,227.83
9407330,231.29,234.93
9407366,393.47,399.64
9407378,332.73,337.93
9407380,384.39,390.41
9407445,582.79,591.91
9407469,278.45,282.79
9407471,247.49,251.37
9407500,299.39,304.1
9407524,241.69,245.47
9407574,227.94,231.5
9407586,216.25,219.63
9407598,181.37,184.21
9407665,217,220.41
9407689,250.1,254.01
9407823,Division by zero!,Division by zero!
9407835,Division by zero!,Division by zero!
9407847,Division by zero!,Division by zero!
9407859,279.54,283.93
9407861,268.24,272.44
9407873,275.65,279.98
9407976,201.08,204.17
9407988,217.01,220.34
9408073,608.42,618.01
9408217,427.39,434.1
9408281,299.99,304.69
9408360,78.03,79.23
9408463,464.53,471.8
9408475,421.23,427.85
9408554,Division by zero!,Division by zero!
9408683,638.71,648.74
9408762,579.52,588.61
9408803,197.02,200.09
9408865,723.9,735.28
9408877,794.09,806.6
9408889,131.55,133.57
9409132,283.38,287.81
9409168,249.89,253.78
9409194,571.3,580.29
9409259,607.28,616.77
9409273,282.11,286.43
9409326,330.32,335.49
9409338,333.9,339.15
9409340,315.69,320.66
9409352,478.74,486.43
9409479,289.32,293.87
9409481,390.67,396.75
9409534,333.77,338.95
9409742,215.93,219.29
9410002,314.33,319.26
9410131,331.19,336.32
9410143,291.41,295.91
9410179,489.71,497.4
9410181,539.17,547.63
9410208,972.02,987.27
9410210,Division by zero!,Division by zero!
9410222,623.81,633.61
9410272,448.23,455.29
9410454,381.31,387.28
9410533,287.56,292.07
9410545,216.65,220.04
9410569,1830.06,1858.85
9410600,Division by zero!,Division by zero!
9410624,Division by zero!,Division by zero!
9410648,418.18,424.74
9410650,546.25,554.77
9410662,158.03,160.48
9410727,928.13,942.9
9410753,915,929.57
9410777,938.77,953.58
9410789,907.47,921.75
9410791,829.96,842.99
9410882,Division by zero!,Division by zero!
9410909,337.84,343.12
9410973,686.42,697.2
9410997,905.81,920.09
9411082,730.82,742.3
9411135,255.69,259.66
9411185,556.45,565.15
9411197,550.69,559.29
9411305,297.24,301.89
9411317,308.46,313.31
9411329,290.31,294.87
9411525,Division by zero!,Division by zero!
9411537,291.19,295.77
9411927,180.54,183.37
9411939,536.57,545.01
9411941,578.7,587.77
9411953,848.65,861.92
9411989,275.97,280.26
9411991,Division by zero!,Division by zero!
9412000,Division by zero!,Division by zero!
9412036,587.79,596.86
9412062,368.37,374.13
9412177,411.93,418.37
9412294,300.64,305.35
9412309,475.21,482.67
9412517,292.47,297.05
9412529,259.74,263.88
9412531,286.08,290.5
9412581,590.98,600.17
9412622,260.16,264.22
9412634,317.39,322.38
9412646,304.28,309.04
9412725,248.59,252.45
9412737,253.9,257.88
9412775,294.28,298.87
9412842,327.27,332.42
9412880,668.75,889.89
9412945,Division by zero!,Division by zero!
9413016,563.75,572.57
9413066,182.95,185.83
9413078,195.02,198.07
9413420,451.46,458.38
9413676,Division by zero!,Division by zero!
9413688,455.57,462.63
9413901,211.34,214.63
9413913,257.98,262
9413925,263.23,267.35
9414022,532.85,541.17
9414034,463.91,471.15
9414058,335.53,340.81
9414060,332.79,338.02
9414084,315.43,320.4
9414187,131.52,133.56
9414216,258.1,262.13
9414228,265.33,269.48
9414254,236.83,240.57
9414278,342.86,348.24
9414292,296.36,301.01
9414450,235.27,238.94
9414474,241.14,244.91
9414503,353.79,359.33
9414759,208.83,212.05
9414773,251.89,255.85
9414931,Division by zero!,Division by zero!
9414981,158.26,160.72
9415040,143.53,145.73
9415052,127.58,129.53
9415064,135.01,137.08
9415155,198.63,201.73
9415167,205.1,208.29
9415208,263.12,267.21
9415222,282.36,286.78
9415246,222,225.47
9415296,258.63,262.7
9415399,582.06,591.18
9415404,506.8,514.76
9415947,339.32,344.66
9415959,266.85,270.99
9416020,226.04,229.57
9416032,274.14,278.42
9416044,172.49,175.19
9416082,368.53,374.32
9416109,227.87,231.45
9416381,Division by zero!,Division by zero!
9416393,Division by zero!,Division by zero!
9416408,Division by zero!,Division by zero!
9416434,246.68,250.52
9416446,271.7,275.93
9416458,208.53,211.77
9416537,Division by zero!,Division by zero!
9416549,Division by zero!,Division by zero!
9416551,578.41,587.48
9416707,239.52,243.27
9416719,Division by zero!,Division by zero!
9416721,234.11,237.76
9416733,Division by zero!,Division by zero!
9416757,271.75,276.02
9416769,Division by zero!,Division by zero!
9416771,242.02,245.82
9416783,295.3,299.92
9416800,228.17,231.72
9416812,257.03,261.03
9416824,333.91,339.12
9416965,509.83,517.75
9416977,523.98,532.1
9416989,549.84,558.37
9417012,387.07,393.06
9417024,475.98,483.36
9417098,499.62,507.35
9417141,208.21,211.41
9417206,341.54,346.89
9417218,297.61,302.27
9417220,378.37,384.29
9417309,540.98,549.38
9417311,583.75,592.81
9417323,432.66,439.43
9417440,502.53,510.4
9417452,727.95,739.37
9417751,412.83,419.24
9417763,Division by zero!,Division by zero!
9417799,481.27,488.81
9417919,380.25,386.17
9418133,303.3,308.04
9418145,283.88,288.35
9418157,516.6,524.71
9418286,100.44,102.01
9418327,272.97,277.26
9418573,345.24,350.65
9418597,437.46,444.3
9418602,450.99,458.03
9418614,556.02,564.75
9418729,281.4,285.82
9418731,Division by zero!,Division by zero!
9418779,317.92,322.87
9418822,264.78,268.9
9418913,Division by zero!,Division by zero!
9418975,308.65,313.48
9418987,271.43,275.7
9418999,317.05,322.03
9419008,325,330.11
9419096,584.66,593.81
9419101,548.06,556.66
9419163,774.71,786.89
9419175,744.26,755.95
9419199,338.35,343.65
9419242,321.44,326.45
9419254,299.98,304.71
9419280,133.27,135.32
9419292,146.28,148.54
9419307,136.46,138.56
9419319,144.92,147.15
9419321,153.2,155.57
9419357,476.67,484.13
9419369,493.69,501.41
9419450,413.25,419.73
9419541,284.8,289.27
9419565,438.95,445.84
9419632,Division by zero!,Division by zero!
9419735,237.77,241.5
9419747,361.32,367.04
9419797,1636.54,1662.32
9419802,88.18,89.53
9419890,722.05,733.42
9419931,Division by zero!,Division by zero!
9420045,349.07,354.53
9420057,332.06,337.28
